[[itemset] , support]
[[0], 84]
[[1], 85]
[[2], 72]
[[3], 78]
[[4], 91]
[[5], 103]
[[6], 34]
[[7], 93]
[[8], 37]
[[9], 90]
[[10], 41]
[[11], 68]
[[12], 79]
[[13], 56]
[[14], 95]
[[15], 73]
[[16], 81]
[[17], 51]
[[18], 84]
[[19], 76]
[[20], 40]
[[21], 44]
[[22], 108]
[[23], 82]
[[24], 66]
[[25], 38]
[[26], 47]
[[27], 90]
[[28], 102]
[[29], 61]
[[30], 49]
[[31], 91]
[[32], 76]
[[33], 78]
[[34], 42]
[[35], 75]
[[36], 84]
[[37], 65]
[[38], 26]
[[39], 55]
[[40], 66]
[[41], 72]
[[42], 82]
[[43], 62]
[[44], 77]
[[45], 94]
[[46], 85]
[[47], 74]
[[48], 77]
[[49], 59]
