[[itemset] , support]
[[0, 1], 348]
[[0, 2], 2665]
[[0, 3], 275]
[[0, 4], 352]
[[0, 5], 331]
[[0, 6], 223]
[[0, 7], 300]
[[0, 8], 228]
[[0, 9], 322]
[[0, 10], 235]
[[0, 11], 251]
[[0, 12], 244]
[[0, 13], 222]
[[0, 14], 374]
[[0, 15], 287]
[[0, 16], 303]
[[0, 17], 268]
[[0, 18], 292]
[[0, 19], 305]
[[0, 20], 233]
[[0, 21], 237]
[[0, 22], 340]
[[0, 23], 267]
[[0, 24], 251]
[[0, 25], 252]
[[0, 26], 235]
[[0, 27], 364]
[[0, 28], 404]
[[0, 29], 256]
[[0, 30], 242]
[[0, 31], 254]
[[0, 32], 284]
[[0, 33], 326]
[[0, 34], 241]
[[0, 35], 322]
[[0, 36], 270]
[[0, 37], 267]
[[0, 38], 226]
[[0, 39], 230]
[[0, 40], 223]
[[0, 41], 218]
[[0, 42], 323]
[[0, 43], 223]
[[0, 44], 308]
[[0, 45], 291]
[[0, 46], 3303]
[[0, 47], 280]
[[0, 48], 234]
[[0, 49], 261]
[[1, 2], 304]
[[1, 3], 346]
[[1, 4], 396]
[[1, 5], 363]
[[1, 6], 279]
[[1, 7], 368]
[[1, 8], 262]
[[1, 9], 396]
[[1, 10], 235]
[[1, 11], 325]
[[1, 12], 278]
[[1, 13], 326]
[[1, 14], 415]
[[1, 15], 355]
[[1, 16], 338]
[[1, 17], 328]
[[1, 18], 402]
[[1, 19], 2764]
[[1, 20], 288]
[[1, 21], 268]
[[1, 22], 427]
[[1, 23], 300]
[[1, 24], 283]
[[1, 25], 296]
[[1, 26], 293]
[[1, 27], 394]
[[1, 28], 434]
[[1, 29], 313]
[[1, 30], 285]
[[1, 31], 271]
[[1, 32], 339]
[[1, 33], 349]
[[1, 34], 305]
[[1, 35], 347]
[[1, 36], 295]
[[1, 37], 319]
[[1, 38], 255]
[[1, 39], 299]
[[1, 40], 288]
[[1, 41], 264]
[[1, 42], 422]
[[1, 43], 273]
[[1, 44], 306]
[[1, 45], 342]
[[1, 46], 337]
[[1, 47], 351]
[[1, 48], 293]
[[1, 49], 307]
[[2, 3], 261]
[[2, 4], 353]
[[2, 5], 303]
[[2, 6], 226]
[[2, 7], 306]
[[2, 8], 236]
[[2, 9], 307]
[[2, 10], 199]
[[2, 11], 233]
[[2, 12], 247]
[[2, 13], 197]
[[2, 14], 371]
[[2, 15], 260]
[[2, 16], 291]
[[2, 17], 221]
[[2, 18], 288]
[[2, 19], 300]
[[2, 20], 239]
[[2, 21], 209]
[[2, 22], 323]
[[2, 23], 216]
[[2, 24], 216]
[[2, 25], 232]
[[2, 26], 188]
[[2, 27], 304]
[[2, 28], 363]
[[2, 29], 237]
[[2, 30], 221]
[[2, 31], 249]
[[2, 32], 290]
[[2, 33], 290]
[[2, 34], 217]
[[2, 35], 284]
[[2, 36], 248]
[[2, 37], 248]
[[2, 38], 206]
[[2, 39], 222]
[[2, 40], 211]
[[2, 41], 225]
[[2, 42], 299]
[[2, 43], 212]
[[2, 44], 292]
[[2, 45], 293]
[[2, 46], 2643]
[[2, 47], 261]
[[2, 48], 216]
[[2, 49], 249]
[[3, 4], 324]
[[3, 5], 336]
[[3, 6], 234]
[[3, 7], 307]
[[3, 8], 217]
[[3, 9], 326]
[[3, 10], 204]
[[3, 11], 242]
[[3, 12], 250]
[[3, 13], 249]
[[3, 14], 319]
[[3, 15], 290]
[[3, 16], 284]
[[3, 17], 266]
[[3, 18], 3253]
[[3, 19], 294]
[[3, 20], 221]
[[3, 21], 222]
[[3, 22], 359]
[[3, 23], 218]
[[3, 24], 244]
[[3, 25], 212]
[[3, 26], 210]
[[3, 27], 335]
[[3, 28], 337]
[[3, 29], 276]
[[3, 30], 228]
[[3, 31], 241]
[[3, 32], 305]
[[3, 33], 314]
[[3, 34], 253]
[[3, 35], 3227]
[[3, 36], 252]
[[3, 37], 227]
[[3, 38], 233]
[[3, 39], 222]
[[3, 40], 238]
[[3, 41], 226]
[[3, 42], 363]
[[3, 43], 245]
[[3, 44], 281]
[[3, 45], 314]
[[3, 46], 262]
[[3, 47], 252]
[[3, 48], 242]
[[3, 49], 265]
[[4, 5], 381]
[[4, 6], 301]
[[4, 7], 378]
[[4, 8], 334]
[[4, 9], 3236]
[[4, 10], 319]
[[4, 11], 340]
[[4, 12], 351]
[[4, 13], 289]
[[4, 14], 431]
[[4, 15], 337]
[[4, 16], 358]
[[4, 17], 332]
[[4, 18], 402]
[[4, 19], 388]
[[4, 20], 327]
[[4, 21], 289]
[[4, 22], 428]
[[4, 23], 314]
[[4, 24], 325]
[[4, 25], 334]
[[4, 26], 299]
[[4, 27], 409]
[[4, 28], 465]
[[4, 29], 320]
[[4, 30], 288]
[[4, 31], 304]
[[4, 32], 342]
[[4, 33], 357]
[[4, 34], 309]
[[4, 35], 388]
[[4, 36], 311]
[[4, 37], 348]
[[4, 38], 340]
[[4, 39], 319]
[[4, 40], 334]
[[4, 41], 304]
[[4, 42], 392]
[[4, 43], 319]
[[4, 44], 380]
[[4, 45], 372]
[[4, 46], 368]
[[4, 47], 367]
[[4, 48], 280]
[[4, 49], 320]
[[5, 6], 264]
[[5, 7], 352]
[[5, 8], 265]
[[5, 9], 346]
[[5, 10], 245]
[[5, 11], 278]
[[5, 12], 295]
[[5, 13], 283]
[[5, 14], 384]
[[5, 15], 330]
[[5, 16], 294]
[[5, 17], 291]
[[5, 18], 342]
[[5, 19], 323]
[[5, 20], 281]
[[5, 21], 285]
[[5, 22], 3294]
[[5, 23], 253]
[[5, 24], 247]
[[5, 25], 297]
[[5, 26], 255]
[[5, 27], 362]
[[5, 28], 441]
[[5, 29], 291]
[[5, 30], 280]
[[5, 31], 270]
[[5, 32], 349]
[[5, 33], 382]
[[5, 34], 262]
[[5, 35], 344]
[[5, 36], 256]
[[5, 37], 273]
[[5, 38], 266]
[[5, 39], 290]
[[5, 40], 272]
[[5, 41], 287]
[[5, 42], 398]
