[[itemset] , support]
[[0, 2, 46], 2504]
[[3, 18, 35], 3083]
[[7, 11, 15], 92]
[[7, 11, 37], 2574]
[[7, 11, 45], 2107]
[[7, 11, 49], 64]
[[7, 15, 37], 78]
[[7, 15, 45], 67]
[[7, 15, 49], 2040]
[[7, 37, 45], 2109]
[[7, 37, 49], 57]
[[7, 45, 49], 48]
[[7, 16, 45], 74]
[[7, 32, 45], 73]
[[11, 37, 45], 2104]
[[11, 16, 45], 85]
[[11, 32, 45], 81]
[[12, 31, 36], 1913]
[[12, 31, 48], 1558]
[[12, 36, 48], 1555]
[[16, 32, 45], 2462]
[[16, 37, 45], 83]
[[17, 29, 47], 2007]
[[23, 24, 40], 1932]
[[23, 24, 41], 1926]
[[23, 24, 43], 1558]
[[23, 40, 41], 1931]
[[23, 40, 43], 1565]
[[23, 41, 43], 1564]
[[24, 40, 41], 1922]
[[24, 40, 43], 1564]
[[24, 41, 43], 1570]
[[31, 36, 48], 1560]
[[32, 37, 45], 78]
[[40, 41, 43], 1560]
