[[itemset] , support]
[[0], 6265]
[[1], 6271]
[[2], 5626]
[[3], 6157]
[[4], 6948]
[[5], 6168]
[[6], 3178]
[[7], 8193]
[[8], 3189]
[[9], 6206]
[[10], 3153]
[[11], 5784]
[[12], 5117]
[[13], 3177]
[[14], 6362]
[[15], 5690]
[[16], 6221]
[[17], 5529]
[[18], 6987]
[[19], 5685]
[[20], 3253]
[[21], 3243]
[[22], 6783]
[[23], 5073]
[[24], 5101]
[[25], 3145]
[[26], 3179]
[[27], 6733]
[[28], 7556]
[[29], 5089]
[[30], 3205]
[[31], 5047]
[[32], 6299]
[[33], 6166]
[[34], 3243]
[[35], 6943]
[[36], 5077]
[[37], 5790]
[[38], 3183]
[[39], 3307]
[[40], 5118]
[[41], 5081]
[[42], 6871]
[[43], 4685]
[[44], 5640]
[[45], 7700]
[[46], 6236]
[[47], 5810]
[[48], 4649]
[[49], 5098]
