[[itemset] , support]
[[0, 2], 2665]
[[0, 46], 3303]
[[1, 19], 2764]
[[2, 46], 2643]
[[3, 18], 3253]
[[3, 35], 3227]
[[4, 9], 3236]
[[5, 22], 3294]
[[7, 11], 2795]
[[7, 15], 2731]
[[7, 37], 2784]
[[7, 45], 2367]
[[7, 49], 2212]
[[11, 37], 2751]
[[11, 45], 2327]
[[12, 31], 2088]
[[12, 36], 2089]
[[12, 48], 1709]
[[14, 44], 2835]
[[15, 49], 2210]
[[16, 32], 3263]
[[16, 45], 2628]
[[17, 29], 2142]
[[17, 47], 2697]
[[18, 35], 3982]
[[23, 24], 2087]
[[23, 40], 2101]
[[23, 41], 2079]
[[23, 43], 1736]
[[24, 40], 2086]
[[24, 41], 2087]
[[24, 43], 1731]
[[27, 28], 3819]
[[29, 47], 2136]
[[31, 36], 2092]
[[31, 48], 1717]
[[32, 45], 2653]
[[33, 42], 3230]
[[36, 48], 1735]
[[37, 45], 2319]
[[40, 41], 2088]
[[40, 43], 1727]
[[41, 43], 1719]
